ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
201412;1011101;1;1;11;1;1;1140;616;524;7;3;9;10;3;6;6;3;6;3;3;6;56;183;88;111;147;116;89;51;54;68;21;15;15;18;18;6;6;13;0;0;7;25;27;6;239;656;104;57;19
201412;1011102;1;1;11;2;1;44;29;15;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;3;16;6;10;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;38;0;0;0
201412;1011103;1;1;11;3;1;1740;982;758;10;15;6;18;12;12;6;21;21;21;6;37;79;175;97;143;185;153;150;138;101;96;48;22;30;32;36;36;15;13;6;0;10;51;87;37;254;967;166;134;34
201412;1011104;1;1;11;4;1;1593;837;756;6;9;9;12;3;6;6;6;7;12;3;33;76;201;147;176;207;169;125;119;96;57;16;12;12;12;20;9;15;9;3;0;6;33;40;33;277;1039;85;53;27
201412;1011105;1;1;11;5;1;429;223;206;6;0;3;18;8;6;0;3;10;0;4;14;9;21;13;42;54;41;39;36;36;23;9;6;10;3;3;6;6;0;0;0;6;29;23;14;30;261;38;22;6
201412;1011201;1;1;12;1;1;608;337;271;3;0;0;3;3;9;6;3;3;9;6;6;19;36;33;50;70;59;75;55;51;36;15;13;3;18;12;6;6;0;0;0;3;6;36;6;55;393;64;39;6
201412;1011202;1;1;12;2;1;145;64;81;0;0;0;0;0;0;0;3;3;3;0;0;0;18;9;12;25;16;18;12;0;16;3;0;0;7;0;0;0;0;0;0;0;0;9;0;18;92;19;7;0
201412;1011203;1;1;12;3;1;349;190;159;0;3;6;9;3;0;0;3;3;3;0;0;6;28;22;28;45;44;24;36;30;17;3;3;9;6;12;3;0;3;0;0;0;21;9;0;34;229;23;30;3
201412;1011204;1;1;12;4;1;1583;777;806;9;3;9;12;9;3;10;15;12;12;7;19;60;100;98;139;236;168;168;126;94;84;56;15;21;38;18;18;12;12;0;0;9;33;59;19;160;1029;155;95;24
201412;1011301;1;1;13;1;1;1411;701;710;12;12;15;12;6;6;4;15;4;9;0;9;30;120;84;183;264;192;147;105;59;42;18;12;12;18;9;12;0;0;0;0;12;45;38;9;150;1034;72;51;0
201412;1011302;1;1;13;2;1;2803;1392;1411;16;16;6;12;9;12;15;27;12;18;4;19;56;232;204;349;519;412;307;215;154;55;30;28;15;12;22;12;9;6;0;0;16;43;88;19;288;2160;113;61;15
201412;1011303;1;1;13;3;1;2220;1187;1033;6;9;7;21;3;6;9;10;16;15;6;21;60;227;170;297;410;273;200;139;116;76;40;21;17;18;12;6;9;0;0;0;6;40;62;21;287;1605;137;53;9
201412;1011304;1;1;13;4;1;1579;751;828;9;9;6;24;12;9;10;12;15;25;9;29;57;157;110;147;205;183;128;151;89;73;25;12;15;9;15;13;6;9;6;0;9;51;80;29;214;1013;110;52;21
201412;1011305;1;1;13;5;1;1324;765;559;6;12;12;19;6;3;3;10;9;15;0;23;12;73;83;152;221;161;143;130;88;44;18;12;6;28;17;15;3;0;0;0;6;49;40;23;85;978;74;66;3
201412;1011306;1;1;13;6;1;1787;898;889;3;15;9;12;3;6;3;9;13;6;7;27;64;197;152;171;299;217;162;141;95;59;35;15;15;12;21;13;6;0;0;0;3;39;44;27;261;1237;109;61;6
201412;1011401;1;1;14;1;1;3931;1999;1932;33;31;30;54;33;22;18;45;44;35;12;58;105;303;255;512;797;590;383;223;125;95;22;12;18;28;18;9;12;6;3;0;33;148;176;58;408;2885;129;73;21
201412;1011402;1;1;14;2;1;2811;1385;1426;15;21;17;48;9;15;7;10;9;18;6;7;30;194;189;406;682;428;309;156;88;49;31;24;15;16;9;3;0;0;0;0;15;95;65;7;224;2258;104;43;0
201412;1022101;1;2;21;1;1;1157;671;486;6;9;12;24;9;6;13;13;12;12;6;31;46;124;65;105;121;112;90;96;74;59;27;15;16;15;20;16;3;0;0;0;6;54;62;31;170;663;101;67;3
201412;1022102;1;2;21;2;1;2439;1343;1096;7;15;12;37;22;14;12;31;18;15;6;64;86;175;138;183;326;243;258;206;149;108;63;37;43;72;47;33;13;3;3;0;7;86;96;64;261;1503;208;195;19
201412;1022103;1;2;21;3;1;122;72;50;3;6;0;0;3;0;0;3;0;0;3;3;13;3;0;15;24;13;21;3;3;3;3;0;0;0;0;0;0;0;0;0;3;9;6;3;16;79;6;0;0
201412;1022104;1;2;21;4;1;5091;2750;2341;18;19;13;44;12;21;19;25;24;36;9;86;156;410;308;463;696;532;460;422;347;273;145;85;87;107;141;91;30;9;3;0;18;88;134;86;566;3228;503;426;42
201412;1022105;1;2;21;5;1;1647;857;790;9;3;9;12;3;6;4;18;12;9;3;32;47;162;83;147;184;174;149;163;115;83;34;31;41;25;43;31;15;0;0;0;9;27;52;32;209;1015;148;140;15
201412;1022106;1;2;21;6;1;2408;1280;1128;15;16;17;32;26;16;14;16;32;29;24;43;92;208;125;235;334;266;191;168;163;104;58;24;39;41;44;18;12;3;3;0;15;91;131;43;300;1482;186;142;18
201412;1022201;1;2;22;1;1;2830;1488;1342;6;22;18;24;14;12;16;22;26;18;9;40;85;258;188;287;373;297;256;239;176;119;60;34;42;68;49;54;15;3;0;0;6;78;103;40;343;1816;213;213;18
201412;1022202;1;2;22;2;1;466;237;229;3;0;0;0;3;3;3;9;3;3;3;15;19;47;24;31;37;34;49;50;38;15;12;3;13;19;12;15;3;0;0;0;3;3;24;15;66;263;30;59;3
201412;1022203;1;2;22;3;1;2152;1068;1084;9;9;9;21;0;10;12;16;18;19;7;48;76;140;117;133;223;237;222;166;156;110;55;38;48;60;93;59;23;12;0;6;9;39;82;48;216;1254;203;260;41
201412;1022204;1;2;22;4;1;1327;709;618;3;9;9;9;3;6;3;15;15;3;3;22;49;140;61;113;183;155;134;102;93;63;24;25;12;16;30;24;3;0;0;0;3;30;45;22;189;841;112;82;3
201412;1022205;1;2;22;5;1;946;483;463;12;6;3;15;12;6;9;19;13;16;12;37;32;70;36;84;95;82;89;42;66;53;19;27;10;15;31;16;15;4;0;0;12;36;75;37;102;494;99;72;19
