ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
201712;01011101;01;01;11;01;1;1303;703;600;0;3;6;9;9;6;6;3;3;3;0;3;35;205;111;148;196;124;85;64;74;69;38;16;11;7;25;16;16;12;0;0;0;27;21;3;240;802;123;59;28
201712;01011102;01;01;11;02;1;62;44;18;0;0;0;0;0;0;0;0;0;0;0;0;0;7;12;9;12;6;3;9;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;7;51;0;4;0
201712;01011103;01;01;11;03;1;1867;997;870;13;15;9;22;3;10;6;28;16;27;20;44;46;140;88;151;209;221;158;136;107;111;62;25;22;51;43;29;34;14;3;4;13;49;107;44;186;1070;198;145;55
201712;01011104;01;01;11;04;1;1910;1053;857;15;18;6;24;10;11;13;16;16;18;6;31;78;260;166;224;252;204;129;101;97;79;24;9;25;26;16;9;15;6;6;0;15;58;80;31;338;1173;112;76;27
201712;01011105;01;01;11;05;1;519;272;247;7;3;3;3;9;6;3;12;0;0;3;0;13;21;22;38;65;60;58;58;48;30;12;16;7;16;3;0;3;0;0;0;7;18;24;0;34;349;58;26;3
201712;01011201;01;01;12;01;1;878;491;387;0;7;15;3;6;0;4;3;4;3;3;23;29;81;42;85;136;77;85;86;45;42;32;15;4;6;21;18;3;0;0;0;0;31;17;23;110;556;89;49;3
201712;01011202;01;01;12;02;1;229;130;99;0;0;0;9;0;0;0;6;9;5;0;3;3;15;6;12;52;31;28;6;17;8;3;3;3;4;3;3;0;0;0;0;0;9;20;3;18;152;14;13;0
201712;01011203;01;01;12;03;1;405;226;179;3;0;3;4;3;3;3;3;4;0;0;3;3;26;25;33;53;45;40;49;29;32;6;4;3;6;13;9;0;0;0;0;3;10;13;3;29;274;42;31;0
201712;01011204;01;01;12;04;1;2484;1245;1239;21;27;21;34;17;22;15;35;17;22;10;35;49;149;146;269;434;296;215;173;128;121;43;35;18;47;35;24;6;14;3;3;21;99;121;35;198;1661;199;124;26
201712;01011301;01;01;13;01;1;2056;1066;990;13;6;7;42;12;7;15;10;9;18;0;9;36;132;132;246;436;305;198;150;97;71;19;15;15;19;27;3;7;0;0;0;13;67;59;9;168;1564;105;64;7
201712;01011302;01;01;13;02;1;3386;1707;1679;16;21;12;40;10;18;10;37;36;19;19;22;62;192;182;435;641;493;380;269;199;104;37;19;24;35;30;6;6;9;3;0;16;83;139;22;254;2599;160;95;18
201712;01011303;01;01;13;03;1;3316;1785;1531;25;23;11;24;18;10;18;17;24;27;6;41;55;312;232;484;706;413;295;193;132;113;34;18;22;18;18;11;12;4;0;0;25;76;102;41;367;2455;165;69;16
201712;01011304;01;01;13;04;1;2105;1034;1071;18;15;18;34;12;9;13;31;19;10;7;58;66;157;146;251;306;229;191;161;110;95;42;28;19;6;18;6;9;12;9;0;18;79;89;58;223;1394;165;49;30
201712;01011305;01;01;13;05;1;1922;1079;843;6;26;17;21;9;12;3;10;16;13;9;16;41;124;120;188;337;257;195;155;120;86;34;12;18;12;37;18;7;3;0;0;6;73;63;16;165;1372;132;85;10
201712;01011306;01;01;13;06;1;2977;1596;1381;13;13;23;25;15;18;7;6;6;12;3;22;248;406;220;330;490;372;182;194;124;75;40;26;18;35;24;21;9;0;0;0;13;76;52;22;654;1912;141;98;9
201712;01011401;01;01;14;01;1;5206;2682;2524;44;43;34;85;40;38;28;74;53;46;25;67;129;324;305;651;1101;783;505;324;175;127;59;21;22;31;38;12;7;15;0;0;44;202;264;67;453;3844;207;103;22
201712;01011402;01;01;14;02;1;3553;1766;1787;22;30;25;36;24;12;13;17;21;24;9;15;53;200;215;431;873;584;360;247;155;52;37;24;12;13;19;23;3;0;0;4;22;115;96;15;253;2865;113;67;7
201712;01022101;01;02;21;01;1;1339;774;565;9;18;6;15;7;10;12;19;17;18;6;22;43;97;94;119;180;134;128;92;85;64;34;23;12;16;25;22;6;6;0;0;9;46;82;22;140;832;121;75;12
201712;01022102;01;02;21;02;1;2718;1499;1219;13;9;22;33;13;28;16;26;31;24;6;45;77;227;151;233;395;261;255;215;180;139;61;41;46;55;76;24;16;0;0;0;13;77;131;45;304;1690;241;201;16
201712;01022103;01;02;21;03;1;135;69;66;3;0;3;6;0;0;0;3;0;3;4;0;6;22;7;7;24;12;9;6;0;6;3;3;0;0;8;0;0;0;0;0;3;9;10;0;28;65;12;8;0
201712;01022104;01;02;21;04;1;6079;3403;2676;25;35;18;46;36;25;15;50;46;46;13;86;183;519;354;561;860;648;503;489;389;326;154;86;94;127;170;111;49;12;0;3;25;135;195;86;702;3804;566;502;64
201712;01022105;01;02;21;05;1;1987;1058;929;7;16;19;12;14;19;20;10;28;19;6;33;60;154;112;194;249;225;141;181;137;109;41;15;16;34;42;32;28;10;4;0;7;61;102;33;214;1239;165;124;42
201712;01022106;01;02;21;06;1;2273;1211;1062;6;3;6;20;12;3;6;12;15;12;3;27;65;168;145;234;371;271;191;172;144;107;66;33;31;53;48;28;15;3;3;0;6;41;51;27;233;1528;206;160;21
201712;01022201;01;02;22;01;1;3363;1827;1536;18;22;18;50;29;15;15;31;35;29;21;46;96;272;217;357;511;308;328;241;205;145;68;34;28;60;73;63;25;3;0;0;18;119;146;46;368;2167;247;224;28
201712;01022202;01;02;22;02;1;536;279;257;0;0;3;3;0;0;4;9;3;3;0;9;14;30;22;39;71;61;56;57;49;30;9;6;0;12;23;12;7;4;0;0;0;6;19;9;44;355;45;47;11
201712;01022203;01;02;22;03;1;2463;1238;1225;17;10;16;41;12;28;15;32;22;13;19;30;88;152;127;195;282;231;232;193;183;113;57;39;31;59;102;57;55;6;6;0;17;79;129;30;240;1443;209;249;67
201712;01022204;01;02;22;04;1;1582;864;718;12;6;9;12;6;0;3;9;9;7;6;16;48;139;116;182;264;165;151;91;79;84;25;22;18;31;28;27;13;4;0;0;12;33;34;16;187;1048;131;104;17
201712;01022205;01;02;22;05;1;1085;574;511;15;15;9;9;9;6;13;26;29;23;3;37;38;76;47;68;130;101;101;63;58;69;9;15;17;25;27;23;12;9;3;0;15;42;100;37;114;568;93;92;24
201712;01022206;01;02;22;06;1;674;342;332;0;6;0;6;0;0;3;3;9;0;0;7;14;63;41;47;102;72;58;70;36;35;30;7;15;6;26;9;6;0;3;0;0;12;15;7;77;426;72;56;9
201712;01022207;01;02;22;07;1;1830;983;847;6;3;0;15;6;0;6;12;3;7;6;12;72;385;201;213;235;144;99;97;81;73;25;16;18;17;25;22;15;13;3;0;6;24;34;12;457;1070;114;82;31
201712;01033101;01;03;31;01;1;10933;5919;5014;88;113;112;192;83;100;96;163;170;153;71;232;435;737;518;887;1355;1138;988;889;751;502;227;107;108;160;216;201;105;30;6;0;88;500;753;232;1172;6526;836;685;141
201712;01033102;01;03;31;02;1;4702;2499;2203;23;27;33;53;40;24;34;65;42;66;25;96;245;365;229;381;529;483;454;447;318;205;99;44;43;79;122;88;28;9;6;0;23;153;256;96;610;2841;348;332;43
201712;01033201;01;03;32;01;1;4137;2147;1990;18;36;9;38;18;22;18;53;63;35;18;53;119;242;181;294;514;467;430;391;345;183;102;60;61;95;120;91;39;13;9;0;18;101;209;53;361;2622;345;367;61
201712;01033202;01;03;32;02;1;2613;1321;1292;13;9;13;23;16;3;19;23;25;13;9;33;62;173;140;175;327;304;268;238;177;134;72;36;60;60;74;86;16;9;3;0;13;61;92;33;235;1629;242;280;28
201712;01033203;01;03;32;03;1;5780;3176;2604;59;33;44;100;29;58;35;57;63;81;40;112;200;447;330;504;742;613;512;480;379;256;111;56;39;112;130;79;58;21;0;0;59;206;334;112;647;3560;423;360;79
201712;01044101;01;04;41;01;1;6472;3501;2971;42;39;38;82;49;43;48;84;73;62;39;89;172;462;322;617;837;698;599;525;454;360;156;77;86;105;161;92;43;18;0;0;42;208;349;89;634;4052;593;444;61
201712;01044102;01;04;41;02;1;3839;2070;1769;34;26;19;48;28;20;20;44;36;27;12;65;86;248;206;385;483;422;351;293;296;194;100;61;43;89;97;63;33;10;0;0;34;121;159;65;334;2436;355;292;43
201712;01044103;01;04;41;03;1;3200;1706;1494;27;29;19;44;27;23;18;45;23;46;19;83;101;281;202;311;415;351;269;240;189;140;52;37;47;46;52;47;4;9;4;0;27;119;174;83;382;1977;229;192;17
201712;01044201;01;04;42;01;1;10640;5795;4845;86;61;83;143;71;87;69;148;120;125;52;199;367;727;564;893;1348;1093;973;918;816;517;247;105;107;190;226;183;91;21;7;3;86;358;601;199;1094;6605;869;706;122
201712;01044202;01;04;42;02;1;6854;3875;2979;22;40;47;78;35;36;33;69;70;55;18;103;274;681;512;804;1005;744;585;483;384;238;121;89;36;94;105;65;21;7;0;0;22;200;281;103;955;4517;448;300;28
201712;01044203;01;04;42;03;1;6663;3663;3000;51;42;49;67;40;35;44;83;63;67;24;107;204;463;359;594;917;668;563;528;438;352;163;102;77;141;205;143;62;9;3;0;51;198;316;107;667;4067;617;566;74
201712;02010101;02;01;01;01;1;2860;1581;1279;12;21;12;46;19;14;10;37;27;16;20;34;95;334;194;333;382;265;225;210;190;119;53;15;25;28;46;37;28;6;4;3;12;98;124;34;429;1799;187;136;41
201712;02010102;02;01;01;02;1;4455;2259;2196;25;27;20;38;25;13;24;38;34;40;10;51;154;298;163;378;527;447;442;427;373;247;90;54;52;84;128;119;72;34;15;6;25;110;159;51;452;2757;391;383;127
201712;02010103;02;01;01;03;1;5424;2867;2557;34;21;39;36;26;17;24;48;34;27;18;60;167;312;228;369;618;614;565;553;435;301;155;63;73;123;188;173;65;18;20;0;34;122;168;60;479;3382;519;557;103
201712;02010104;02;01;01;04;1;1652;848;804;3;7;6;9;6;7;8;6;16;10;3;28;43;74;55;125;194;214;163;179;147;101;47;23;12;32;57;38;27;12;0;0;3;28;50;28;117;1077;171;139;39
201712;02020201;02;02;02;01;1;298;153;145;3;3;6;10;9;6;6;0;3;0;0;3;4;15;3;30;77;45;34;13;7;0;0;0;3;6;9;3;0;0;0;0;3;28;15;3;19;209;0;21;0
201712;02020202;02;02;02;02;1;1665;918;747;13;3;7;23;6;6;6;19;14;12;15;66;84;122;83;170;212;148;152;141;99;84;41;15;24;27;25;31;13;0;4;0;13;39;72;66;206;1005;140;107;17
201712;02020203;02;02;02;03;1;2617;1364;1253;6;21;17;22;6;9;9;20;14;9;3;38;56;153;158;273;425;329;252;208;161;142;65;28;36;42;45;49;18;3;0;0;6;66;64;38;209;1806;235;172;21
201712;02020204;02;02;02;04;1;3339;1795;1544;16;11;12;31;10;10;18;20;12;18;3;52;95;244;186;356;586;403;315;238;181;153;69;38;43;43;72;64;16;15;6;3;16;64;81;52;339;2265;260;222;40
201712;02020205;02;02;02;05;1;3705;1913;1792;14;0;12;19;6;4;3;7;18;9;12;24;207;309;168;345;508;385;343;307;270;178;101;52;67;62;128;83;45;13;6;0;14;37;53;24;516;2326;331;340;64
201712;02020206;02;02;02;06;1;5221;2685;2536;16;15;21;35;17;18;18;27;31;40;16;26;100;285;256;490;915;711;524;440;363;224;116;68;52;91;136;89;53;25;0;3;16;88;150;26;385;3699;408;368;81
201712;02030301;02;03;03;01;1;3402;1758;1644;6;0;10;6;10;6;3;16;21;15;13;24;69;168;124;240;397;361;354;324;318;184;89;60;67;107;181;148;52;23;0;6;6;26;74;24;237;2118;333;503;81
201712;02030302;02;03;03;02;1;4310;2301;2009;12;25;13;21;3;6;7;19;18;17;4;28;93;236;212;389;611;524;448;334;298;245;136;41;65;90;173;124;76;30;9;3;12;62;71;28;329;2816;422;452;118
201712;02030401;02;03;04;01;1;4835;2518;2317;19;13;18;30;14;22;12;28;15;21;10;32;105;311;291;479;791;655;503;367;311;198;89;36;46;94;155;86;65;9;7;3;19;75;108;32;416;3397;323;381;84
201712;02030402;02;03;04;02;1;3623;1915;1708;6;7;4;25;9;7;3;12;6;13;10;7;83;207;181;340;590;479;348;279;262;163;91;37;32;94;136;123;41;25;3;0;6;45;51;7;290;2479;291;385;69
201712;02040501;02;04;05;01;1;776;355;421;7;7;3;12;10;6;6;6;9;10;7;12;21;42;30;68;109;91;90;71;55;35;18;15;0;3;20;7;3;3;0;0;7;32;44;12;63;514;68;30;6
201712;02040502;02;04;05;02;1;1275;641;634;17;19;6;15;9;6;14;10;19;7;3;19;30;106;83;141;253;144;114;78;79;43;12;12;4;14;6;9;0;3;0;0;17;49;59;19;136;892;67;33;3
201712;02040503;02;04;05;03;1;1798;936;862;16;15;22;20;10;6;0;16;6;12;6;16;41;117;147;254;381;273;148;96;80;53;23;6;19;3;9;3;0;0;0;0;16;67;46;16;158;1379;82;34;0
201712;02040701;02;04;07;01;1;3123;1618;1505;25;21;29;42;24;7;22;39;27;27;16;45;88;389;292;441;514;307;194;201;126;97;63;15;12;8;18;16;10;4;0;4;25;116;138;45;477;2075;175;54;18
201712;02040702;02;04;07;02;1;1828;979;849;0;12;0;3;6;6;7;9;6;6;3;27;77;206;142;242;398;258;156;101;65;45;22;9;0;10;6;6;0;0;0;0;0;21;37;27;283;1362;76;22;0
201712;02040703;02;04;07;03;1;697;398;299;15;9;16;24;14;16;4;15;19;17;3;9;29;69;36;107;117;58;47;21;19;12;9;3;3;3;3;0;0;0;0;0;15;63;74;9;98;405;24;9;0
201712;02050601;02;05;06;01;1;1877;994;883;6;9;13;9;9;6;10;19;9;6;6;18;25;134;142;323;442;272;140;81;81;46;28;7;7;3;14;9;3;0;0;0;6;40;56;18;159;1481;81;33;3
201712;02050602;02;05;06;02;1;4295;2201;2094;28;41;23;38;12;9;22;15;19;21;10;31;61;331;322;655;1013;667;368;232;151;107;30;18;18;15;19;10;3;3;0;3;28;114;96;31;392;3408;155;62;9
201712;02050801;02;05;08;01;1;4609;2432;2177;38;31;27;51;35;25;20;42;28;48;14;50;94;397;368;683;969;706;358;241;141;116;44;24;9;10;13;21;3;3;0;0;38;144;177;50;491;3466;184;53;6
201712;02050802;02;05;08;02;1;4639;2485;2154;26;31;15;33;7;7;6;25;13;6;9;27;73;411;414;773;1127;725;369;212;137;91;37;10;13;12;12;3;12;3;0;0;26;86;66;27;484;3757;138;40;15
201712;02050803;02;05;08;03;1;1559;863;696;0;19;7;24;0;0;3;3;3;0;6;12;33;133;157;249;365;224;130;82;44;24;6;6;13;7;6;0;3;0;0;0;0;50;15;12;166;1251;36;26;3
201712;02050804;02;05;08;04;1;567;342;225;3;3;0;13;6;0;10;6;3;4;0;6;25;55;22;71;90;88;34;57;27;7;7;3;0;6;9;6;6;0;0;0;3;22;23;6;80;389;17;21;6
201712;03010101;03;01;01;01;2;327;185;142;3;14;3;0;0;6;0;4;3;3;0;6;9;23;12;24;58;55;36;20;26;7;6;3;0;0;0;3;3;0;0;0;3;17;16;6;32;231;16;3;3
201712;03010102;03;01;01;02;2;1761;1085;676;29;28;28;65;43;18;27;47;54;33;23;46;101;192;105;162;245;176;137;67;50;38;19;6;6;9;7;0;0;0;0;0;29;164;202;46;293;942;63;22;0
201712;03010104;03;01;01;04;2;30;23;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;11;6;3;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;3;0;0
201712;03020203;03;02;02;03;2;134;99;35;0;3;3;3;0;3;0;0;7;0;3;6;13;13;6;10;15;16;12;6;3;6;3;0;3;0;0;0;0;0;0;0;0;9;13;6;26;68;9;3;0
201712;03020209;03;02;02;09;2;1334;653;681;6;3;12;22;13;10;10;21;3;12;3;16;165;168;79;110;160;135;118;90;81;27;22;21;3;12;3;9;0;0;0;0;6;50;59;16;333;773;70;27;0
201712;03020210;03;02;02;10;2;848;443;405;13;16;9;25;12;12;4;16;19;9;9;12;32;62;22;75;123;115;98;59;42;34;9;0;0;15;0;3;3;0;0;0;13;62;69;12;94;534;43;18;3
201712;03020307;03;02;03;07;2;891;445;446;12;9;12;16;9;6;9;13;9;12;0;20;38;52;34;39;114;117;116;85;60;41;18;10;12;3;10;6;3;6;0;0;12;46;49;20;90;565;69;31;9
201712;03030405;03;03;04;05;2;1020;582;438;19;21;29;29;11;12;15;38;18;18;12;35;48;75;50;91;134;133;68;69;52;21;10;0;0;6;6;0;0;0;0;0;19;90;113;35;123;597;31;12;0
201712;03030406;03;03;04;06;2;275;122;153;4;0;0;7;3;0;3;6;6;0;0;0;9;16;17;16;39;26;30;27;10;12;3;10;3;6;6;0;9;3;4;0;4;10;15;0;25;165;25;15;16
201712;03030711;03;03;07;11;2;184;76;108;0;0;0;3;7;7;0;3;0;6;0;3;13;3;12;15;15;30;13;18;18;6;3;3;0;0;3;0;0;0;0;3;0;10;16;3;16;121;12;3;3
201712;03030715;03;03;07;15;2;915;593;322;7;15;3;18;21;4;18;26;28;20;9;38;57;102;51;76;109;94;73;50;29;27;3;9;7;9;3;3;3;3;0;0;7;57;105;38;159;482;39;22;6
201712;03030716;03;03;07;16;2;16;10;6;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;4;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;10;3;0;0
201712;03040508;03;04;05;08;2;280;145;135;0;0;3;9;0;0;0;3;0;0;3;11;6;15;12;12;25;37;31;22;24;20;6;9;4;3;16;3;3;3;0;0;0;12;6;11;21;163;35;26;6
201712;03040512;03;04;05;12;2;655;323;332;12;9;3;15;10;3;0;10;9;6;0;11;15;54;42;49;85;85;89;46;38;21;13;6;0;0;9;9;3;3;0;0;12;37;28;11;69;434;40;18;6
201712;03040513;03;04;05;13;2;221;119;102;0;6;0;0;3;0;0;3;4;0;0;10;6;4;6;27;35;16;30;21;13;10;15;0;3;3;6;0;0;0;0;0;0;9;7;10;10;148;25;12;0
201712;03040614;03;04;06;14;2;2748;1375;1373;37;18;28;50;19;18;21;22;23;24;7;43;77;194;147;274;454;395;300;224;139;82;48;12;25;21;24;6;10;0;6;0;37;115;115;43;271;1933;142;76;16
201712;03040818;03;04;08;18;2;3442;1725;1717;28;36;43;55;18;24;20;45;33;22;12;69;89;235;221;388;659;506;289;226;149;101;38;33;25;21;32;13;6;6;0;0;28;152;156;69;324;2438;172;91;12
201712;03050919;03;05;09;19;2;834;510;324;18;25;24;33;11;15;15;28;18;17;10;27;50;96;49;80;100;71;51;35;28;12;3;3;9;0;3;3;0;0;0;0;18;93;103;27;146;414;18;15;0
201712;03050920;03;05;09;20;2;585;310;275;9;3;6;12;3;4;7;3;6;7;4;23;9;31;38;34;92;87;57;49;40;29;7;9;3;3;6;0;4;0;0;0;9;24;31;23;40;397;45;12;4
201712;03050923;03;05;09;23;2;1245;661;584;16;6;16;22;10;3;9;9;6;9;3;6;48;84;90;151;264;145;144;74;59;40;12;6;0;6;4;3;0;0;0;0;16;54;39;6;132;927;58;13;0
201712;03050924;03;05;09;24;2;1010;550;460;6;21;15;9;10;15;3;18;18;3;3;26;25;113;46;116;166;119;94;67;38;32;12;10;3;0;10;6;3;3;0;0;6;55;60;26;138;646;54;19;6
201712;03050925;03;05;09;25;2;1062;534;528;3;9;6;15;9;9;14;18;16;23;20;53;24;94;45;73;150;152;93;91;56;46;13;3;0;9;9;3;3;3;0;0;3;39;100;53;118;660;62;21;6
201712;03051017;03;05;10;17;2;577;364;213;3;0;6;6;3;0;3;0;0;0;3;9;40;73;46;82;103;58;41;29;32;15;0;3;6;7;9;0;0;0;0;0;3;15;6;9;113;391;18;22;0
201712;03051021;03;05;10;21;2;480;247;233;6;9;10;18;12;3;9;12;4;12;0;13;19;40;18;55;54;58;38;42;12;12;9;6;3;0;6;0;0;0;0;0;6;49;40;13;59;277;27;9;0
201712;03051022;03;05;10;22;2;182;93;89;7;0;0;0;9;0;3;3;6;7;4;6;11;4;10;6;29;24;23;12;6;6;3;3;0;0;0;0;0;0;0;0;7;9;23;6;15;110;12;0;0
201712;03061126;03;06;11;26;1;2791;1506;1285;23;24;20;34;7;9;18;10;21;10;3;28;58;260;216;385;590;426;255;158;103;49;25;9;15;11;18;6;0;0;0;0;23;85;71;28;318;2133;83;50;0
201712;03061131;03;06;11;31;1;2470;1262;1208;20;28;9;28;10;15;13;18;15;16;3;15;31;200;170;321;564;341;228;167;125;68;23;3;9;9;9;3;3;0;6;0;20;75;80;15;231;1916;94;30;9
201712;03061227;03;06;12;27;1;2347;1181;1166;3;15;3;12;6;6;7;12;12;6;0;10;35;156;159;350;558;351;258;167;95;53;22;6;9;12;6;6;9;0;3;0;3;36;43;10;191;1938;81;33;12
201712;03061228;03;06;12;28;1;1889;952;937;18;9;23;21;9;12;3;6;14;15;18;25;31;134;110;301;429;267;134;106;82;46;16;15;0;12;18;6;9;0;0;0;18;62;68;25;165;1429;77;36;9
201712;03061332;03;06;13;32;1;4530;2294;2236;34;24;25;57;24;29;9;34;25;28;4;40;62;244;274;554;979;744;504;351;216;109;48;22;18;27;30;6;6;3;0;0;34;130;129;40;306;3622;179;81;9
201712;03061429;03;06;14;29;1;892;441;451;6;13;10;17;3;19;15;18;10;3;4;21;37;70;43;73;148;112;71;52;53;34;20;0;13;12;3;6;3;3;0;0;6;43;69;21;107;552;54;34;6
201712;03061430;03;06;14;30;1;1217;709;508;24;32;16;31;32;19;8;44;50;23;12;37;83;132;89;133;132;117;63;47;33;36;3;6;3;6;3;0;3;0;0;0;24;111;156;37;215;614;45;12;3
201712;03061434;03;06;14;34;1;1079;536;543;3;9;12;9;0;9;6;6;0;3;3;7;15;67;85;146;254;195;83;54;43;22;12;6;9;6;7;8;0;0;0;0;3;30;27;7;82;860;40;30;0
201712;03061435;03;06;14;35;1;713;366;347;7;3;9;9;6;0;3;12;6;3;0;17;13;48;55;76;152;95;48;57;40;26;9;0;7;6;3;0;3;0;0;0;7;27;24;17;61;523;35;16;3
201712;03061441;03;06;14;41;1;352;166;186;8;3;0;12;4;3;4;10;6;6;3;13;6;21;6;28;65;63;36;25;12;6;3;0;0;3;6;0;0;0;0;0;8;19;32;13;27;235;9;9;0
201712;03071536;03;07;15;36;1;2582;1292;1290;13;12;15;34;13;15;13;15;6;11;7;12;65;172;164;308;532;382;278;233;135;67;18;6;13;3;21;12;3;4;0;0;13;74;67;12;237;2032;91;49;7
201712;03071537;03;07;15;37;1;3652;1842;1810;40;42;32;76;31;32;24;46;35;28;13;39;70;193;189;391;720;534;393;312;152;95;44;15;22;31;32;12;9;0;0;0;40;181;178;39;263;2691;154;97;9
201712;03071633;03;07;16;33;1;589;312;277;10;9;9;20;7;3;3;9;9;7;0;13;3;29;40;72;113;86;51;30;25;29;6;3;0;0;3;0;0;0;0;0;10;45;31;13;32;417;38;3;0
201712;03071638;03;07;16;38;1;3552;1782;1770;34;27;25;43;18;25;14;28;23;28;12;24;56;194;238;455;740;518;391;253;146;105;46;27;10;19;24;26;3;0;0;0;34;113;130;24;250;2741;178;79;3
201712;03071639;03;07;16;39;1;2000;1031;969;10;13;12;16;9;13;4;9;12;9;3;22;39;121;105;253;413;278;234;148;113;76;25;18;0;12;18;6;9;0;0;0;10;50;50;22;160;1544;119;36;9
201712;04010101;04;01;01;01;2;2775;1444;1331;25;22;21;38;19;21;24;30;24;24;18;36;88;212;115;208;352;307;272;239;149;150;84;38;40;78;74;39;9;10;9;0;25;100;141;36;300;1642;272;231;28
201712;04010102;04;01;01;02;2;357;273;84;0;3;3;3;3;0;4;9;11;6;0;16;24;51;15;15;43;31;34;31;25;15;3;0;3;3;0;3;0;0;0;3;0;12;30;16;75;194;18;9;3
